time_start_mjd time_end_mjd sqrt(ts) flux flux_err flux_ul gal gal_error iso iso_error l_peak b_peak dist_peak l b r ell_dist a b phi exposure ExpRatio counts counts_err Index Index_Err Par2 Par2_Err Par3 Par3_Err Erglog Erglog_Err Erglog_UL time_start_utc time_end_utc time_start_tt time_end_tt Fix index ULConfidenceLevel SrcLocConfLevel start_l start_b start_flux typefun par2 par3 galmode2 galmode2fit isomode2 isomode2fit edpcor fluxcor integratortype expratioEval expratio_minthr expratio_maxthr expratio_size Emin emax fovmin fovmax albedo binsize expstep phasecode fit_cts fit_fitstatus0 fit_fcn0 fit_edm0 fit_nvpar0 fit_nparx0 fit_iter0 fit_fitstatus1 fit_fcn1 fit_edm1 fit_nvpar1 fit_nparx1 fit_iter1 fit_Likelihood1
57786.0 57786.083333333336 2.00187 907.696e-08 656.887e-08 2663.33e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 416342 0 3.77912 2.73489 2.1 0 0 0 0 0 2.79605e-09 2.02346e-09 8.20406e-09 2017-02-02T00:00:00.000 2017-02-02T02:00:00.000 413078400.0 413085600.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 13 -1 56.1672 0.5 0 134 3 0 54.1635 7.89242e-18 1 134 3 67.1635
57786.833333333336 57786.916666666664 1.07992 414.36e-08 530.402e-08 2006.42e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 415681 0 1.72242 2.20478 2.1 0 0 0 0 0 1.27639e-09 1.63384e-09 6.18054e-09 2017-02-02T20:00:00.000 2017-02-02T22:00:00.000 413150400.0 413157600.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 13 -1 57.1705 0.5 0 134 3 0 56.5874 3.37984e-08 1 134 3 69.5874
57786.916666666664 57787.0 1.27115 314.341e-08 388.075e-08 1619.51e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 396940 0 1.24774 1.54042 2.1 0 0 0 0 0 9.6829e-10 1.19542e-09 4.98871e-09 2017-02-02T22:00:00.000 2017-02-03T00:00:00.000 413157600.0 413164800.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 11 -1 50.8945 0.5 0 134 3 0 50.0866 5.52331e-10 1 134 3 61.0866
57786.083333333336 57786.166666666664 0.901593 592.235e-08 799.593e-08 2832.24e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 294782 0 1.7458 2.35705 2.1 0 0 0 0 0 1.82431e-09 2.46305e-09 8.72438e-09 2017-02-02T02:00:00.000 2017-02-02T04:00:00.000 413085600.0 413092800.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 12 -1 56.0114 0.5 0 134 3 0 55.605 2.78217e-09 1 134 3 67.605
57786.166666666664 57786.25 1.30972 539.044e-08 578.24e-08 2251.58e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 364477 0 1.96469 2.10755 2.1 0 0 0 0 0 1.66046e-09 1.7812e-09 6.93572e-09 2017-02-02T04:00:00.000 2017-02-02T06:00:00.000 413092800.0 413100000.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 13 -1 58.9773 0.5 0 134 3 0 58.1196 3.08478e-07 1 134 3 71.1196
57786.25 57786.333333333336 0.672741 456.829e-08 755.156e-08 2426.36e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 370061 0 1.69055 2.79454 2.1 0 0 0 0 0 1.40721e-09 2.32617e-09 7.47412e-09 2017-02-02T06:00:00.000 2017-02-02T08:00:00.000 413100000.0 413107200.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 10 -1 47.1696 0.5 0 134 3 0 46.9433 1.1084e-08 1 134 3 56.9433
57786.333333333336 57786.416666666664 0.689932 377.946e-08 681.337e-08 2539.06e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 281172 0 1.06268 1.91573 2.1 0 0 0 0 0 1.16422e-09 2.09878e-09 7.82128e-09 2017-02-02T08:00:00.000 2017-02-02T10:00:00.000 413107200.0 413114400.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 10 -1 47.2796 0.5 0 134 3 0 47.0416 5.1949e-08 1 134 3 57.0416
57786.416666666664 57786.5 0.28522 243.833e-08 922.994e-08 3021.23e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 230549 0.416419 0.562155 2.12796 2.1 0 0 0 0 0 7.51097e-10 2.84317e-09 9.30653e-09 2017-02-02T10:00:00.000 2017-02-02T12:00:00.000 413114400.0 413121600.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 9 -1 43.2393 0.5 0 134 3 0 43.1986 2.87821e-08 1 134 3 52.1986
57786.5 57786.583333333336 1.83707 1191.81e-08 898.746e-08 3516.73e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 335645 0 4.00026 3.0166 2.1 0 0 0 0 0 3.67123e-09 2.76848e-09 1.08329e-08 2017-02-02T12:00:00.000 2017-02-02T14:00:00.000 413121600.0 413128800.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 14 -1 58.1154 0.5 0 134 3 0 56.428 2.97231e-07 1 134 3 70.428
57786.583333333336 57786.666666666664 0.241655 155.225e-08 739.857e-08 2196.69e-08 0.60506 0 9.92363 0 355.921 0.463449 0 -1 -1 -1 -1 -1 -1 -1 252423 0.0594884 0.391823 1.86757 2.1 0 0 0 0 0 4.78152e-10 2.27904e-09 6.76665e-09 2017-02-02T14:00:00.000 2017-02-02T16:00:00.000 413128800.0 413136000.0 3 2.1 2 5.99147 355.921 0.463449 5.10779e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 5 -1 25.9228 0.5 0 134 3 0 25.8936 8.46194e-07 1 134 3 30.8936
