time_start_mjd time_end_mjd sqrt(ts) flux flux_err flux_ul gal gal_error iso iso_error l_peak b_peak dist_peak l b r ell_dist a b phi exposure ExpRatio counts counts_err Index Index_Err Par2 Par2_Err Par3 Par3_Err Erglog Erglog_Err Erglog_UL time_start_utc time_end_utc time_start_tt time_end_tt Fix index ULConfidenceLevel SrcLocConfLevel start_l start_b start_flux typefun par2 par3 galmode2 galmode2fit isomode2 isomode2fit edpcor fluxcor integratortype expratioEval expratio_minthr expratio_maxthr expratio_size Emin emax fovmin fovmax albedo binsize expstep phasecode fit_cts fit_fitstatus0 fit_fcn0 fit_edm0 fit_nvpar0 fit_nparx0 fit_iter0 fit_fitstatus1 fit_fcn1 fit_edm1 fit_nvpar1 fit_nparx1 fit_iter1 fit_Likelihood1
58199.0 58199.083333333336 2.10077 855.552e-08 627.538e-08 2521.73e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 511770 0 4.37846 3.21155 2.1 0 0 0 0 0 2.63543e-09 1.93306e-09 7.76788e-09 2018-03-22T00:00:00.000 2018-03-22T02:00:00.000 448761600.0 448768800.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 22 -1 88.0452 0.5 0 134 3 0 85.8386 2.10195e-16 1 134 3 107.839
58199.833333333336 58199.916666666664 0 2942090.0e-08 293.068e-08 962.286e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 430920 0 1.2678e-08 1.26289 2.1 0 0 0 0 0 9.06276e-18 9.02762e-10 2.96421e-09 2018-03-22T20:00:00.000 2018-03-22T22:00:00.000 448833600.0 448840800.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 9 -1 43.2028 0.5 0 134 3 0 43.2028 9.98998e-09 1 134 3 52.2028
58199.916666666664 58200.0 1.28053 391.074e-08 398.73e-08 1498.14e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 587657 0 2.29818 2.34316 2.1 0 0 0 0 0 1.20466e-09 1.22824e-09 4.61485e-09 2018-03-22T22:00:00.000 2018-03-23T00:00:00.000 448840800.0 448848000.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 12 -1 56.4806 0.5 0 134 3 0 55.6607 1.04525e-07 1 134 3 67.6607
58199.083333333336 58199.166666666664 0 46546.1e-08 564.157e-08 912.261e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 549628 0 2.5583e-06 3.10076 2.1 0 0 0 0 0 1.4338e-15 1.73782e-09 2.81011e-09 2018-03-22T02:00:00.000 2018-03-22T04:00:00.000 448768800.0 448776000.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 10 -1 46.8753 0.5 0 134 3 0 46.8753 8.25029e-07 1 134 3 56.8753
58199.166666666664 58199.25 0.615918 334.407e-08 601.638e-08 1933.35e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 475375 0 1.58969 2.86004 2.1 0 0 0 0 0 1.0301e-09 1.85327e-09 5.95545e-09 2018-03-22T04:00:00.000 2018-03-22T06:00:00.000 448776000.0 448783200.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 17 -1 72.0996 0.5 0 134 3 0 71.9099 2.65245e-07 1 134 3 88.9099
58199.25 58199.333333333336 0 2109420.0e-08 1011.36e-08 1785.34e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 337112 0 7.11113e-09 3.4094 2.1 0 0 0 0 0 6.49783e-18 3.11536e-09 5.49953e-09 2018-03-22T06:00:00.000 2018-03-22T08:00:00.000 448783200.0 448790400.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 11 -1 52.2061 0.5 0 134 3 0 52.2061 2.09761e-09 1 134 3 63.2061
58199.333333333336 58199.416666666664 3.77529 1313.85e-08 648.157e-08 2936.68e-08 0.784081 0 7.11922 0 355.697 -1.01888 0.587801 -1 -1 -1 -1 -1 -1 -1 536727 0 7.0518 3.47884 2.1 0 0 0 0 0 4.04716e-09 1.99657e-09 9.04608e-09 2018-03-22T08:00:00.000 2018-03-22T10:00:00.000 448790400.0 448797600.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 19 -1 75.4791 0.5 0 134 3 0 68.3527 2.00047e-12 1 134 3 85.9664
58199.416666666664 58199.5 1.0124 655.296e-08 744.352e-08 2533.06e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 455822 0 2.98698 3.39292 2.1 0 0 0 0 0 2.01856e-09 2.29289e-09 7.80277e-09 2018-03-22T10:00:00.000 2018-03-22T12:00:00.000 448797600.0 448804800.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 17 -1 70.2456 0.5 0 134 3 0 69.7332 4.44954e-09 1 134 3 86.7332
58199.5 58199.583333333336 0 0 399.277e-08 1382.75e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 271870 0 0 1.08551 2.1 0 0 0 0 0 0 1.22992e-09 4.25939e-09 2018-03-22T12:00:00.000 2018-03-22T14:00:00.000 448804800.0 448812000.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 7 -1 36.1811 0.5 0 134 3 0 36.1811 6.65813e-12 1 134 3 43.1811
58199.583333333336 58199.666666666664 0.710815 397.008e-08 650.382e-08 2202.04e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 383300 0 1.52173 2.49292 2.1 0 0 0 0 0 1.22294e-09 2.00342e-09 6.78311e-09 2018-03-22T14:00:00.000 2018-03-22T16:00:00.000 448812000.0 448819200.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 12 -1 53.8387 0.5 0 134 3 0 53.5861 7.16693e-09 1 134 3 65.5861
58199.666666666664 58199.75 0 0 273.648e-08 835.273e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 595590 0 0 1.62982 2.1 0 0 0 0 0 0 8.4294e-10 2.57296e-09 2018-03-22T16:00:00.000 2018-03-22T18:00:00.000 448819200.0 448826400.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 21 -1 85.5168 0.5 0 134 3 0 85.5168 1.15617e-11 1 134 3 106.517
58199.75 58199.833333333336 1.4442 608.881e-08 555.195e-08 2075.36e-08 0.784081 0 7.11922 0 355.527 -0.45621 0 -1 -1 -1 -1 -1 -1 -1 545756 0 3.323 3.03001 2.1 0 0 0 0 0 1.87558e-09 1.71021e-09 6.3929e-09 2018-03-22T18:00:00.000 2018-03-22T20:00:00.000 448826400.0 448833600.0 3 2.1 2 5.99147 355.527 -0.45621 3.40483e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 18 -1 71.8955 0.5 0 134 3 0 70.8526 8.62338e-09 1 134 3 88.8526
