time_start_mjd time_end_mjd sqrt(ts) flux flux_err flux_ul gal gal_error iso iso_error l_peak b_peak dist_peak l b r ell_dist a b phi exposure ExpRatio counts counts_err Index Index_Err Par2 Par2_Err Par3 Par3_Err Erglog Erglog_Err Erglog_UL time_start_utc time_end_utc time_start_tt time_end_tt Fix index ULConfidenceLevel SrcLocConfLevel start_l start_b start_flux typefun par2 par3 galmode2 galmode2fit isomode2 isomode2fit edpcor fluxcor integratortype expratioEval expratio_minthr expratio_maxthr expratio_size Emin emax fovmin fovmax albedo binsize expstep phasecode fit_cts fit_fitstatus0 fit_fcn0 fit_edm0 fit_nvpar0 fit_nparx0 fit_iter0 fit_fitstatus1 fit_fcn1 fit_edm1 fit_nvpar1 fit_nparx1 fit_iter1 fit_Likelihood1
58368.0 58368.083333333336 1.81648 1047.96e-08 791.981e-08 3133.6e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 343886 0 3.6038 2.72351 2.1 0 0 0 0 0 3.22812e-09 2.4396e-09 9.65267e-09 2018-09-07T00:00:00.000 2018-09-07T02:00:00.000 463363200.0 463370400.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 10 -1 45.3268 0.5 0 134 3 0 43.677 6.34313e-10 1 134 3 53.677
58368.833333333336 58368.916666666664 0 11096.7e-08 539.19e-08 1196.51e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 461236 0 5.11819e-07 2.48694 2.1 0 0 0 0 0 3.4182e-16 1.66091e-09 3.68569e-09 2018-09-07T20:00:00.000 2018-09-07T22:00:00.000 463435200.0 463442400.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 17 -1 71.9441 0.5 0 134 3 0 71.9441 2.05752e-07 1 134 3 88.9441
58368.916666666664 58369.0 0 38274.9e-08 3835.84e-08 2640.58e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 195345 0 7.47681e-07 7.49311 2.1 0 0 0 0 0 1.17901e-15 1.18158e-08 8.134e-09 2018-09-07T22:00:00.000 2018-09-08T00:00:00.000 463442400.0 463449600.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 6 -1 28.8334 0.5 0 134 3 0 28.8334 9.97978e-08 1 134 3 34.8334
58368.083333333336 58368.166666666664 1.65588 754.632e-08 642.709e-08 2486.29e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 465846 0 3.51542 2.99404 2.1 0 0 0 0 0 2.32455e-09 1.97979e-09 7.65872e-09 2018-09-07T02:00:00.000 2018-09-07T04:00:00.000 463370400.0 463377600.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 21 -1 82.0433 0.5 0 134 3 0 80.6723 3.91244e-08 1 134 3 101.672
58368.166666666664 58368.25 1.13243 312.723e-08 361.788e-08 1370.81e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 608936 0 1.90428 2.20306 2.1 0 0 0 0 0 9.63305e-10 1.11445e-09 4.22262e-09 2018-09-07T04:00:00.000 2018-09-07T06:00:00.000 463377600.0 463384800.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 19 -1 77.2044 0.5 0 134 3 0 76.5632 5.96124e-08 1 134 3 95.5632
58368.25 58368.333333333336 0 16653300.0e-08 207.295e-08 790.913e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 444451 0 7.4016e-10 0.921323 2.1 0 0 0 0 0 5.12986e-19 6.38546e-10 2.43631e-09 2018-09-07T06:00:00.000 2018-09-07T08:00:00.000 463384800.0 463392000.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 15 -1 65.5447 0.5 0 134 3 0 65.5447 8.02224e-10 1 134 3 80.5447
58368.333333333336 58368.416666666664 0 0 399.108e-08 1149.22e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 428360 0 0 1.70962 2.1 0 0 0 0 0 0 1.2294e-09 3.54005e-09 2018-09-07T08:00:00.000 2018-09-07T10:00:00.000 463392000.0 463399200.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 10 -1 48.0419 0.5 0 134 3 0 48.0419 1.68589e-11 1 134 3 56.6557
58368.416666666664 58368.5 2.90895 808.955e-08 519.953e-08 2189.05e-08 0.760466 0 12.0909 0 355.697 -0.518896 0.0393521 -1 -1 -1 -1 -1 -1 -1 610695 0 4.94025 3.17533 2.1 0 0 0 0 0 2.49189e-09 1.60165e-09 6.7431e-09 2018-09-07T10:00:00.000 2018-09-07T12:00:00.000 463399200.0 463406400.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 25 -1 97.7114 0.5 0 134 3 0 93.4804 9.21807e-10 1 134 3 117.094
58368.5 58368.583333333336 1.36682 246.193e-08 286.227e-08 1168.61e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 621471 0 1.53002 1.77882 2.1 0 0 0 0 0 7.5837e-10 8.81688e-10 3.59976e-09 2018-09-07T12:00:00.000 2018-09-07T14:00:00.000 463406400.0 463413600.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 17 -1 72.6035 0.5 0 134 3 0 71.6694 1.43462e-06 1 134 3 88.6694
58368.583333333336 58368.666666666664 0.637657 421.113e-08 761.253e-08 2548.82e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 321640 0 1.35447 2.4485 2.1 0 0 0 0 0 1.29719e-09 2.34495e-09 7.85135e-09 2018-09-07T14:00:00.000 2018-09-07T16:00:00.000 463413600.0 463420800.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 12 -1 54.0076 0.5 0 134 3 0 53.8043 6.04336e-09 1 134 3 65.8043
58368.666666666664 58368.75 0.543699 277.1e-08 583.916e-08 1986.24e-08 0.760466 0 12.0909 0 355.728 -0.543154 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 345117 0 0.956321 2.0152 2.1 0 0 0 0 0 8.53574e-10 1.79868e-09 6.11838e-09 2018-09-07T16:00:00.000 2018-09-07T18:00:00.000 463420800.0 463428000.0 3 2.1 2 5.99147 355.728 -0.543154 2.98725e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 6 9 -1 43.2546 0.5 0 134 3 0 43.1068 1.77426e-07 1 134 3 52.1068
